time,Qin,Qout,S
2014-01-01,2.04,1.02,11261000.0
2014-01-02,1.86,1.02,11294000.0
2014-01-03,1.54,1.02,11316000.0
2014-01-04,1.2,1.02,11320000.0
2014-01-05,1.2,1.02,11320000.0
2014-01-06,1.11,1.02,11312000.0
2014-01-07,2.14,1.02,11345000.0
2014-01-08,2.37,1.02,11398000.0
2014-01-09,2.44,1.02,11466000.0
2014-01-10,2.41,1.02,11533000.0
2014-01-11,2.03,1.02,11579000.0
2014-01-12,1.7,1.02,11607000.0
2014-01-13,1.4,1.02,11624000.0
2014-01-14,1.12,1.02,11626000.0
2014-01-15,1.01,1.02,11612000.0
2014-01-16,0.964,1.02,11602000.0
2014-01-17,0.857,1.02,11576000.0
2014-01-18,0.741,1.02,11546000.0
2014-01-19,0.702,1.02,11509000.0
2014-01-20,0.673,1.02,11468000.0
2014-01-21,0.694,0.674,11441000.0
2014-01-22,0.648,0.49,11438000.0
2014-01-23,0.606,0.49,11430000.0
2014-01-24,0.604,0.49,11427000.0
2014-01-25,0.568,0.49,11412000.0
2014-01-26,0.597,0.492,11415000.0
2014-01-27,0.794,0.513,11434000.0
2014-01-28,0.726,0.515,11444000.0
2014-01-29,0.719,0.503,11454000.0
2014-01-30,0.719,0.49,11464000.0
2014-01-31,0.695,0.49,11474000.0
2014-02-01,0.797,0.49,11491000.0
2014-02-02,0.796,0.49,11514000.0
2014-02-03,0.717,0.49,11525000.0
2014-02-04,0.723,0.49,11537000.0
2014-02-05,0.814,0.49,11559000.0
2014-02-06,0.989,0.505,11582000.0
2014-02-07,1.27,0.452,11623000.0
2014-02-08,1.62,0.41,11677000.0
2014-02-09,1.6,0.41,11737000.0
2014-02-10,1.32,0.41,11792000.0
2014-02-11,1.14,0.41,11838000.0
2014-02-12,1.11,0.41,11885000.0
2014-02-13,1.26,0.428,11932000.0
2014-02-14,1.21,0.419,11985000.0
2014-02-15,1.39,0.419,12044000.0
2014-02-16,1.42,0.423,12105000.0
2014-02-17,1.54,0.43,12174000.0
2014-02-18,1.25,0.43,12233000.0
2014-02-19,1.23,0.43,12292000.0
2014-02-20,1.25,0.43,12343000.0
2014-02-21,1.3,0.43,12394000.0
2014-02-22,1.16,0.43,12443000.0
2014-02-23,1.06,0.43,12476000.0
2014-02-24,0.987,0.42,12506000.0
2014-02-25,0.902,0.41,12538000.0
2014-02-26,0.937,0.531,12565000.0
2014-02-27,0.863,0.592,12572000.0
2014-02-28,0.877,0.594,12586000.0
2014-03-01,0.818,0.591,12596000.0
2014-03-02,0.771,0.59,12600000.0
2014-03-03,0.75,0.597,12600000.0
2014-03-04,0.716,0.592,12590000.0
2014-03-05,0.654,0.595,12579000.0
2014-03-06,0.607,0.59,12568000.0
2014-03-07,0.582,0.59,12550000.0
2014-03-08,0.549,0.59,12535000.0
2014-03-09,0.513,0.59,12509000.0
2014-03-10,0.479,0.59,12488000.0
2014-03-11,0.457,0.47,12467000.0
2014-03-12,0.428,0.41,12454000.0
2014-03-13,0.406,0.41,12439000.0
2014-03-14,0.379,0.41,12423000.0
2014-03-15,0.377,0.41,12407000.0
2014-03-16,0.374,0.41,12396000.0
2014-03-17,0.337,0.41,12375000.0
2014-03-18,0.326,0.41,12360000.0
2014-03-19,0.319,0.41,12339000.0
2014-03-20,0.294,0.406,12316000.0
2014-03-21,0.281,0.401,12304000.0
2014-03-22,0.29,0.41,12274000.0
2014-03-23,0.322,0.41,12256000.0
2014-03-24,0.29,0.41,12236000.0
2014-03-25,0.285,0.41,12215000.0
2014-03-26,0.264,0.41,12190000.0
2014-03-27,0.241,0.41,12164000.0
2014-03-28,0.224,0.41,12135000.0
